1.0,0.75,0.5,0.4,0.3,0.2
4,6,16,16,429,625
3,5,37,315,429,625
2,2,2,2,429,625
2,2,5,32,430,626
2,2,3,3,3,3
3,4,10,13,13,625
5,11,45,327,442,625
2,3,9,12,12,13
5,5,5,319,445,641
3,9,10,10,75,625
3,4,11,14,14,15
3,4,4,4,4,4
2,2,7,315,429,625
4,7,10,316,429,625
3,5,5,5,5,628
4,4,35,316,430,626
3,8,54,315,429,625
3,4,4,4,4,4
3,3,48,316,429,625
4,9,56,317,431,625
1,1,1,1,1,1
3,3,9,317,432,625
2,2,2,2,2,2
2,2,3,3,3,3
2,4,4,4,4,16
1,1,1,1,1,1
6,6,7,8,8,8
3,15,51,319,445,641
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
4,5,47,315,429,625
2,2,2,2,2,2
3,4,4,4,433,625
2,3,5,11,429,625
1,1,1,1,1,1
3,3,11,14,15,627
2,3,45,315,429,625
3,10,45,315,429,625
2,2,2,3,3,3
4,4,8,9,429,625
4,8,19,326,429,625
2,12,48,316,429,625
1,1,1,1,1,1
5,6,53,317,511,625
3,5,7,9,429,625
1,1,1,1,1,1
8,14,61,340,512,626
6,8,103,318,429,625
1,1,1,1,1,1
6,16,60,343,511,625
3,3,49,317,429,625
3,3,3,3,3,626
1,1,1,1,1,1
1,1,1,1,1,1
4,8,39,315,429,625
2,2,2,2,2,2
2,2,3,3,5,625
4,4,7,315,429,625
4,8,8,9,12,625
4,4,8,319,435,625
4,7,16,16,429,625
7,9,11,21,511,625
4,4,12,15,82,627
5,5,48,316,430,627
2,2,2,2,2,2
6,13,119,316,430,626
2,3,35,316,430,626
3,3,4,4,4,4
2,3,5,6,8,625
2,2,4,7,429,625
4,12,16,16,429,625
1,1,1,1,1,1
10,25,76,319,429,625
2,2,45,315,429,625
2,2,35,316,430,626
3,4,14,43,441,639
4,15,54,315,429,625
2,3,4,4,4,625
1,1,1,1,1,1
2,3,10,12,13,625
3,6,6,10,12,16
4,4,14,335,512,626
2,2,2,32,430,626
3,7,9,9,13,625
2,2,2,2,2,2
3,3,4,316,429,625
4,9,43,320,434,625
4,6,51,315,429,625
3,8,47,315,429,625
2,2,3,3,5,625
3,4,11,11,13,625
5,9,10,321,449,645
5,6,45,327,429,625
5,14,49,316,430,626
2,6,16,16,429,625
1,1,1,1,1,1
2,3,5,316,430,626
