resistance,node,metric,max_level,avg_level
0.25,0,1.1,0.0,-0.9997249999999993
0.25,5,1.06,0.02,-0.9997249999999994
0.25,7,1.08,0.0,-0.9997299999999992
0.25,13,1.0,0.0,-0.9997499999999994
0.25,17,1.08,0.02,-0.9997199999999995
0.25,18,1.1,0.0,-0.9997249999999994
0.25,23,1.06,0.0,-0.9997349999999993
0.25,29,1.06,0.0,-0.9997349999999993
0.25,40,1.12,0.02,-0.9997099999999993
0.25,45,1.08,0.02,-0.9997199999999994
0.25,46,1.06,0.02,-0.9997249999999993
0.25,56,1.12,0.02,-0.9997099999999992
0.25,58,1.16,0.04,-0.9996799999999995
0.25,59,1.06,0.02,-0.9997250000000012
0.25,64,1.14,0.02,-0.9997049999999994
0.25,65,1.1,0.02,-0.9997149999999994
0.25,71,1.04,0.02,-0.9997299999999995
0.25,73,1.08,0.02,-0.9997199999999994
0.25,75,1.04,0.0,-0.9997399999999993
0.25,76,1.04,0.0,-0.9997399999999993
0.25,77,1.1,0.0,-0.9997249999999994
0.25,85,1.06,0.0,-0.9997349999999993
0.25,94,1.06,0.0,-0.9997349999999995
0.25,123,1.22,0.02,-0.9996749999999993
0.25,124,1.12,0.0,-0.9997199999999995
0.25,126,1.02,0.0,-0.9997449999999993
0.25,130,1.14,0.04,-0.9996949999999994
0.25,133,1.1,0.0,-0.9997249999999994
0.25,137,1.06,0.02,-0.9997249999999993
0.25,150,1.04,0.0,-0.9997399999999993
0.25,158,1.1,0.0,-0.9997249999999994
0.25,172,1.14,0.02,-0.9997049999999993
0.25,174,1.16,0.02,-0.9996999999999993
0.25,179,1.06,0.0,-0.9997349999999993
0.25,180,1.1,0.0,-0.9997249999999994
0.25,181,1.06,0.02,-0.9997249999999994
0.25,183,1.1,0.02,-0.9997149999999992
0.25,184,1.06,0.0,-0.9997349999999993
0.25,188,1.14,0.02,-0.9997049999999993
0.25,199,1.14,0.02,-0.9997049999999994
0.25,213,1.04,0.0,-0.9997399999999993
0.25,215,1.1,0.0,-0.9997249999999993
0.25,219,1.1,0.02,-0.9997149999999994
0.25,220,1.12,0.0,-0.9997199999999994
0.25,222,1.2,0.0,-0.9996999999999996
0.25,230,1.1,0.0,-0.9997249999999993
0.25,232,1.08,0.0,-0.9997300000000012
0.25,235,1.1,0.02,-0.9997149999999994
0.25,237,1.18,0.0,-0.9997050000000012
0.25,242,1.14,0.0,-0.9997149999999994
0.25,247,1.08,0.0,-0.9997300000000015
0.25,269,1.12,0.0,-0.9997199999999994
0.25,271,1.12,0.04,-0.9996899999999994
0.25,280,1.1,0.02,-0.9997149999999995
0.25,281,1.08,0.04,-0.9996999999999994
0.25,283,1.18,0.04,-0.9996849999999995
0.25,286,1.12,0.0,-0.9997199999999994
0.25,290,1.16,0.0,-0.9997099999999993
0.25,294,1.16,0.0,-0.9997099999999993
0.25,299,1.08,0.0,-0.9997299999999995
0.25,302,1.04,0.0,-0.9997399999999993
0.25,305,1.08,0.02,-0.9997199999999994
0.25,312,1.1,0.02,-0.9997149999999994
0.25,318,1.1,0.02,-0.9997149999999992
0.25,320,1.12,0.02,-0.9997099999999993
0.25,326,1.08,0.0,-0.9997299999999992
0.25,331,1.08,0.04,-0.9997099999999993
0.25,332,1.04,0.0,-0.9997399999999993
0.25,336,1.18,0.0,-0.9997049999999993
0.25,337,1.1,0.0,-0.9997249999999994
0.25,339,1.06,0.0,-0.9997349999999993
0.25,343,1.2,0.02,-0.9996899999999994
0.25,344,1.12,0.02,-0.9997100000000013
0.25,353,1.12,0.0,-0.9997199999999994
0.25,356,1.02,0.0,-0.9997449999999993
0.25,360,1.08,0.02,-0.9997199999999995
0.25,362,1.04,0.02,-0.9997299999999992
0.25,372,1.08,0.0,-0.9997299999999992
0.25,374,1.1,0.0,-0.9997249999999993
0.25,382,1.08,0.04,-0.9997099999999993
0.25,385,1.14,0.0,-0.9997149999999992
0.25,386,1.12,0.0,-0.9997199999999994
0.25,389,1.06,0.0,-0.9997349999999993
