resistance,node,metric,max_level,avg_level
0.25,0,1.36,0.18,-0.9996866666666675
0.25,7,1.68,0.18,-0.999593333333334
0.25,12,1.38,0.2,-0.9996966666666673
0.25,22,1.4,0.14,-0.9997066666666673
0.25,36,1.4,0.1,-0.9997266666666674
0.25,39,1.38,0.1,-0.9997166666666674
0.25,41,1.58,0.16,-0.9996500000000007
0.25,43,1.52,0.12,-0.9996666666666674
0.25,44,1.36,0.2,-0.9996800000000006
0.25,70,1.4,0.1,-0.9997200000000006
0.25,73,1.62,0.18,-0.9996700000000007
0.25,79,1.56,0.22,-0.9996533333333341
0.25,83,1.6,0.2,-0.9996000000000006
0.25,95,1.68,0.22,-0.9996200000000007
0.25,100,1.38,0.1,-0.9997300000000006
0.25,105,1.52,0.18,-0.9996733333333342
0.25,111,1.34,0.14,-0.9997166666666675
0.25,116,1.36,0.16,-0.9996466666666657
0.25,123,1.5,0.16,-0.9996700000000008
0.25,135,1.46,0.2,-0.9996166666666676
0.25,142,1.56,0.16,-0.9996466666666675
0.25,149,1.32,0.1,-0.9997333333333343
0.25,158,1.52,0.08,-0.9997200000000006
0.25,181,1.5,0.2,-0.9996566666666672
0.25,183,1.56,0.28,-0.9996266666666673
0.25,196,1.5,0.1,-0.9997033333333327
0.25,197,1.58,0.26,-0.999603333333334
0.25,202,1.54,0.18,-0.9996500000000007
0.25,207,1.42,0.16,-0.9996966666666672
0.25,215,1.58,0.2,-0.9996433333333339
0.25,222,1.5,0.12,-0.9996966666666673
0.25,223,1.64,0.24,-0.9996200000000007
0.25,239,1.6,0.22,-0.9996466666666675
0.25,245,1.62,0.26,-0.9995900000000009
0.25,248,1.4,0.12,-0.9997200000000009
0.25,259,1.5,0.2,-0.999643333333334
0.25,269,1.5,0.12,-0.9997100000000008
0.25,274,1.52,0.2,-0.9996600000000005
0.25,281,1.66,0.24,-0.9996166666666672
0.25,283,1.4,0.16,-0.9997066666666674
0.25,291,1.34,0.12,-0.9997233333333342
0.25,295,1.38,0.16,-0.9996966666666673
0.25,302,1.46,0.22,-0.9996833333333341
0.25,311,1.56,0.22,-0.9996600000000008
0.25,328,1.52,0.14,-0.999673333333334
0.25,336,1.44,0.12,-0.9997066666666676
0.25,340,1.56,0.24,-0.999633333333334
0.25,342,1.48,0.18,-0.999673333333334
0.25,343,1.32,0.12,-0.9997200000000006
0.25,346,1.38,0.12,-0.9997033333333343
0.25,353,1.4,0.12,-0.999713333333334
0.25,362,1.48,0.12,-0.9997133333333342
0.25,373,1.48,0.16,-0.9996800000000008
0.25,375,1.46,0.2,-0.9996633333333341
0.25,379,1.56,0.28,-0.9996066666666672
0.25,382,1.46,0.2,-0.9996633333333339
0.25,384,1.34,0.18,-0.9996700000000007
0.25,386,1.5,0.06,-0.9997100000000009
0.25,391,1.62,0.24,-0.999610000000001
0.25,407,1.66,0.2,-0.9996366666666675
0.25,413,1.48,0.14,-0.9996600000000001
0.25,415,1.42,0.16,-0.9996833333333339
0.25,421,1.5,0.18,-0.9996433333333341
0.25,432,1.44,0.18,-0.9996866666666674
0.25,458,1.44,0.18,-0.9996533333333341
0.25,467,1.42,0.14,-0.9997100000000009
0.25,469,1.62,0.2,-0.9996300000000005
0.25,470,1.62,0.24,-0.9996166666666672
0.25,471,1.42,0.2,-0.9996566666666675
0.25,473,1.34,0.1,-0.9997300000000007
0.25,476,1.54,0.2,-0.9996633333333341
