resistance,node,metric,max_level,avg_level
0.25,11,334.68,1.0,0.9628044444444446
0.25,24,329.42,1.0,0.9633977777777776
0.25,28,330.48,1.0,0.96328
0.25,37,327.18,1.0,0.9636422222222223
0.25,40,331.04,1.0,0.9632133333333333
0.25,44,328.3,1.0,0.963517777777778
0.25,69,327.7,1.0,0.9635799999999998
0.25,76,335.68,1.0,0.9626933333333331
0.25,107,333.86,1.0,0.9628777777777774
0.25,111,324.74,1.0,0.9639088888888885
0.25,121,328.08,1.0,0.9635422222222219
0.25,145,328.3,1.0,0.9634999999999999
0.25,157,336.72,1.0,0.9625777777777773
0.25,164,330.14,1.0,0.9633044444444445
0.25,169,325.4,1.0,0.9638311111111111
0.25,179,332.78,1.0,0.9630155555555553
0.25,182,328.78,1.0,0.9634644444444447
0.25,189,330.0,1.0,0.9633155555555555
0.25,209,331.08,1.0,0.9631822222222222
0.25,226,327.4,1.0,0.9636177777777775
0.25,229,331.16,1.0,0.9632044444444442
0.25,230,328.76,1.0,0.9634533333333334
0.25,231,328.38,1.0,0.9635000000000002
0.25,264,326.36,1.0,0.9637333333333331
0.25,276,326.06,1.0,0.9637533333333334
0.25,279,324.7,1.0,0.9639133333333335
0.25,288,330.92,1.0,0.9632222222222224
0.25,290,327.62,1.0,0.9635888888888892
0.25,313,333.2,1.0,0.9629644444444446
0.25,323,326.48,1.0,0.9637022222222223
0.25,329,328.94,1.0,0.9634422222222225
0.25,331,326.62,1.0,0.9637044444444445
0.25,343,327.44,1.0,0.9636133333333333
0.25,348,330.66,1.0,0.9632600000000001
0.25,406,328.72,1.0,0.9634755555555552
0.25,417,328.1,1.0,0.9635355555555553
0.25,424,330.54,1.0,0.9632688888888887
0.25,444,324.74,1.0,0.9639
0.25,449,325.7,1.0,0.9637844444444446
0.25,452,330.02,1.0,0.9633266666666664
0.25,454,326.14,1.0,0.9637444444444444
0.25,455,328.42,1.0,0.9635000000000001
0.25,485,328.24,1.0,0.963511111111111
0.25,509,330.02,1.0,0.9633222222222223
0.25,517,325.44,1.0,0.9638177777777779
0.25,528,329.68,1.0,0.9633688888888888
0.25,558,334.94,1.0,0.9627800000000001
0.25,566,336.68,1.0,0.9625822222222219
0.25,595,330.34,1.0,0.9632866666666667
0.25,609,333.36,1.0,0.9629555555555557
0.25,610,330.06,1.0,0.9633133333333332
0.25,619,331.26,1.0,0.9631888888888889
0.25,637,327.08,1.0,0.9636488888888891
0.25,640,331.5,1.0,0.9631622222222224
0.25,645,332.14,1.0,0.9630822222222224
0.25,651,327.76,1.0,0.9635688888888887
0.25,661,324.62,1.0,0.9639133333333336
0.25,664,331.78,1.0,0.9631311111111113
0.25,674,330.82,1.0,0.9632244444444444
0.25,679,325.52,1.0,0.9638088888888886
0.25,680,327.18,1.0,0.9636422222222223
0.25,682,327.08,1.0,0.9636533333333333
0.25,691,337.34,1.0,0.9625133333333333
0.25,701,329.3,1.0,0.9633933333333335
0.25,704,328.82,1.0,0.9634511111111108
0.25,742,329.96,1.0,0.9633199999999996
0.25,746,327.94,1.0,0.9635577777777778
0.25,749,332.78,1.0,0.9630155555555555
0.25,760,329.64,1.0,0.9633599999999999
0.25,763,323.96,1.0,0.963968888888889
0.25,766,329.32,1.0,0.9633777777777781
0.25,772,328.28,1.0,0.9635155555555557
0.25,780,330.72,1.0,0.963248888888889
0.25,828,324.72,1.0,0.9639111111111113
0.25,833,327.1,1.0,0.9636466666666663
0.25,844,330.62,1.0,0.9632466666666669
0.25,852,331.96,1.0,0.9631111111111111
