resistance,node,metric,max_level,avg_level
0.25,8,51.5,1.0,-0.20243599999999998
0.25,17,51.88,1.0,-0.19936799999999988
0.25,18,51.06,1.0,-0.20842799999999995
0.25,25,51.28,1.0,-0.20820800000000006
0.25,29,50.4,1.0,-0.21944
0.25,35,49.68,1.0,-0.22614399999999993
0.25,37,51.5,1.0,-0.20734800000000003
0.25,39,50.74,1.0,-0.217212
0.25,46,49.32,1.0,-0.23366399999999996
0.25,48,51.9,1.0,-0.20057199999999997
0.25,54,51.82,1.0,-0.2021160000000001
0.25,59,49.86,1.0,-0.224116
0.25,65,50.42,1.0,-0.217508
0.25,68,51.36,1.0,-0.206376
0.25,79,51.7,1.0,-0.19834000000000004
0.25,91,50.62,1.0,-0.21595600000000004
0.25,97,51.84,1.0,-0.20129599999999997
0.25,103,50.22,1.0,-0.21894000000000002
0.25,104,52.04,1.0,-0.19732000000000005
0.25,108,52.7,1.0,-0.18978
0.25,119,51.5,1.0,-0.20166
0.25,121,51.06,1.0,-0.20838800000000002
0.25,127,50.62,1.0,-0.21491600000000002
0.25,129,51.76,1.0,-0.19848800000000008
0.25,132,51.54,1.0,-0.20217200000000002
0.25,143,49.56,1.0,-0.22688000000000005
0.25,147,50.42,1.0,-0.21750799999999998
0.25,148,50.64,1.0,-0.21468799999999993
0.25,149,50.22,1.0,-0.22004399999999996
0.25,161,50.36,1.0,-0.219344
0.25,165,52.0,1.0,-0.20075199999999999
0.25,167,51.22,1.0,-0.209188
0.25,170,49.56,1.0,-0.22670400000000002
0.25,174,50.56,1.0,-0.21639200000000003
0.25,179,52.54,1.0,-0.18953999999999996
0.25,181,50.02,1.0,-0.22611599999999996
0.25,188,50.62,1.0,-0.218132
0.25,191,49.68,1.0,-0.22325599999999998
0.25,206,50.14,1.0,-0.21894800000000003
0.25,210,50.66,1.0,-0.21633199999999994
0.25,218,51.56,1.0,-0.205328
0.25,220,50.8,1.0,-0.21123999999999996
0.25,230,50.58,1.0,-0.21456399999999998
0.25,232,52.1,1.0,-0.19588400000000003
0.25,234,51.96,1.0,-0.19734399999999996
0.25,246,52.4,1.0,-0.19504000000000002
0.25,259,50.3,1.0,-0.218516
0.25,269,51.9,1.0,-0.195388
0.25,276,51.62,1.0,-0.202684
0.25,279,49.68,1.0,-0.23113599999999998
0.25,281,52.16,1.0,-0.19605599999999998
0.25,284,52.7,1.0,-0.18974800000000008
0.25,286,51.66,1.0,-0.19927599999999998
0.25,294,53.2,1.0,-0.18221600000000004
0.25,295,51.7,1.0,-0.200844
0.25,310,50.32,1.0,-0.22140799999999994
0.25,311,49.62,1.0,-0.228036
0.25,312,50.06,1.0,-0.22304399999999996
0.25,317,51.78,1.0,-0.20133199999999998
0.25,319,52.04,1.0,-0.201208
0.25,328,49.04,1.0,-0.2288239999999999
0.25,331,50.98,1.0,-0.20923599999999992
0.25,334,49.92,1.0,-0.22212000000000004
0.25,338,50.3,1.0,-0.220596
0.25,339,49.86,1.0,-0.226004
0.25,342,51.92,1.0,-0.19919999999999993
0.25,344,49.14,1.0,-0.23156400000000005
0.25,345,49.84,1.0,-0.22255200000000003
