resistance,node,metric,max_level,avg_level
0.25,2,403.38,1.0,0.9495774999999996
0.25,15,400.38,1.0,0.9499525000000003
0.25,20,400.3,1.0,0.9499625
0.25,24,401.4,1.0,0.9498249999999997
0.25,25,397.14,1.0,0.9503575000000004
0.25,29,404.68,1.0,0.949415
0.25,36,402.7,1.0,0.9496625000000002
0.25,51,403.26,1.0,0.9495925000000001
0.25,61,401.44,1.0,0.9498200000000001
0.25,75,399.26,1.0,0.9500925000000001
0.25,76,400.08,1.0,0.94999
0.25,90,402.66,1.0,0.9496675000000003
0.25,110,401.36,1.0,0.94983
0.25,113,400.58,1.0,0.9499275
0.25,126,402.04,1.0,0.9497449999999997
0.25,137,402.62,1.0,0.9496725
0.25,156,404.14,1.0,0.9494825000000005
0.25,167,399.3,1.0,0.9500875000000002
0.25,171,396.82,1.0,0.9503974999999996
0.25,176,400.7,1.0,0.9499125
0.25,180,401.5,1.0,0.9498125000000001
0.25,183,398.72,1.0,0.95016
0.25,185,399.86,1.0,0.9500174999999998
0.25,189,402.82,1.0,0.9496474999999996
0.25,191,397.4,1.0,0.950325
0.25,205,400.4,1.0,0.9499500000000003
0.25,209,401.14,1.0,0.9498575000000004
0.25,240,396.16,1.0,0.9504800000000003
0.25,249,400.6,1.0,0.949925
0.25,260,402.78,1.0,0.9496524999999998
0.25,262,401.56,1.0,0.9498050000000002
0.25,265,401.02,1.0,0.9498724999999998
0.25,292,402.68,1.0,0.9496650000000001
0.25,323,403.96,1.0,0.9495050000000002
0.25,325,400.34,1.0,0.9499575
0.25,332,396.3,1.0,0.9504624999999999
0.25,339,395.14,1.0,0.9506075000000002
0.25,343,395.78,1.0,0.9505275000000002
0.25,353,404.22,1.0,0.9494725000000003
0.25,356,401.86,1.0,0.9497674999999998
0.25,377,399.7,1.0,0.9500375000000002
0.25,380,399.68,1.0,0.95004
0.25,406,406.54,1.0,0.9491825000000002
0.25,416,399.92,1.0,0.95001
0.25,418,400.66,1.0,0.9499175000000004
0.25,438,399.56,1.0,0.9500500000000004
0.25,441,406.76,1.0,0.9491550000000004
0.25,442,397.68,1.0,0.9502900000000001
0.25,443,404.12,1.0,0.9494849999999999
0.25,497,399.42,1.0,0.9500725
0.25,499,403.28,1.0,0.94959
0.25,501,398.1,1.0,0.9502375
0.25,505,401.74,1.0,0.9497824999999999
0.25,516,400.7,1.0,0.9499124999999996
0.25,519,400.66,1.0,0.9499174999999999
0.25,522,399.7,1.0,0.9500375
0.25,529,401.32,1.0,0.9498350000000001
0.25,538,399.88,1.0,0.9500150000000002
0.25,541,400.28,1.0,0.9499650000000004
0.25,547,401.22,1.0,0.9498475000000001
0.25,560,403.48,1.0,0.9495650000000001
0.25,577,399.0,1.0,0.950125
0.25,582,398.72,1.0,0.9501600000000002
