resistance,node,metric,max_level,avg_level
0.25,2,7.3,1.0,-0.9874199999999996
0.25,8,7.28,1.0,-0.9881428571428569
0.25,13,7.56,0.98,-0.9875999999999996
0.25,20,7.66,1.0,-0.986728571428571
0.25,24,6.92,1.0,-0.988662857142857
0.25,30,7.32,1.0,-0.9881714285714281
0.25,37,7.18,1.0,-0.9878885714285714
0.25,43,7.44,1.0,-0.9871599999999999
0.25,49,7.68,1.0,-0.9872228571428568
0.25,54,7.2,1.0,-0.988811428571428
0.25,63,7.52,1.0,-0.9864057142857141
0.25,81,6.86,1.0,-0.9888314285714285
0.25,100,7.06,1.0,-0.9879228571428572
0.25,101,7.48,1.0,-0.9878857142857139
0.25,106,7.02,1.0,-0.988711428571428
0.25,113,7.0,1.0,-0.9882628571428572
0.25,125,6.82,1.0,-0.9885857142857141
0.25,137,7.14,1.0,-0.9880942857142856
0.25,138,7.7,1.0,-0.9868085714285709
0.25,139,6.7,1.0,-0.9888142857142852
0.25,141,7.46,1.0,-0.9874999999999998
0.25,143,7.64,1.0,-0.9872571428571422
0.25,154,7.5,1.0,-0.9875457142857145
0.25,176,7.0,1.0,-0.9879771428571428
0.25,180,6.86,1.0,-0.9886942857142854
0.25,199,8.22,1.0,-0.9857114285714285
0.25,200,7.3,0.98,-0.9874199999999997
0.25,201,7.7,1.0,-0.9869228571428563
0.25,213,6.8,1.0,-0.9886342857142858
0.25,221,7.24,1.0,-0.9874571428571427
0.25,233,6.64,1.0,-0.9894971428571426
0.25,242,7.66,1.0,-0.9873857142857146
0.25,243,7.5,1.0,-0.9870828571428569
0.25,249,7.3,1.0,-0.987322857142857
0.25,251,7.06,0.98,-0.9877228571428573
0.25,258,7.24,1.0,-0.9878571428571427
0.25,262,7.2,1.0,-0.9884342857142854
0.25,265,7.06,1.0,-0.9887228571428569
0.25,269,7.0,1.0,-0.9884514285714286
0.25,275,6.72,1.0,-0.9892971428571429
0.25,289,7.88,1.0,-0.9864571428571426
0.25,305,7.94,1.0,-0.9863685714285714
0.25,310,7.08,1.0,-0.9885028571428568
0.25,313,7.28,1.0,-0.9875085714285714
0.25,316,6.86,1.0,-0.9881057142857139
0.25,322,7.32,0.98,-0.9875999999999998
0.25,323,7.02,1.0,-0.9882142857142857
0.25,324,6.82,1.0,-0.9888371428571427
0.25,339,7.46,1.0,-0.9875457142857141
0.25,344,6.98,1.0,-0.988825714285714
0.25,354,7.08,1.0,-0.9886400000000002
0.25,356,7.5,1.0,-0.9873342857142852
0.25,366,7.46,1.0,-0.9872771428571429
0.25,371,7.48,1.0,-0.9874171428571427
0.25,381,6.8,1.0,-0.9887714285714284
0.25,386,7.68,1.0,-0.9867085714285713
0.25,389,7.34,1.0,-0.9875971428571426
0.25,391,7.02,1.0,-0.9880771428571429
0.25,398,6.72,1.0,-0.9886457142857146
0.25,401,7.32,1.0,-0.9878685714285712
0.25,414,7.24,1.0,-0.9879542857142858
0.25,419,7.32,0.98,-0.9876457142857142
0.25,427,7.3,1.0,-0.9879742857142854
0.25,435,7.06,1.0,-0.9883285714285709
0.25,461,6.56,1.0,-0.9890457142857143
0.25,481,7.7,1.0,-0.9867799999999999
0.25,485,7.38,1.0,-0.9875285714285711
0.25,504,7.22,1.0,-0.9883342857142853
0.25,505,8.1,1.0,-0.9858999999999994
0.25,507,7.3,1.0,-0.9876942857142855
0.25,514,7.3,1.0,-0.9879000000000001
0.25,519,7.0,1.0,-0.98836
0.25,526,7.58,1.0,-0.9874657142857144
0.25,540,6.92,1.0,-0.9889257142857137
0.25,545,6.94,1.0,-0.9887857142857144
0.25,554,7.38,1.0,-0.987808571428571
0.25,559,7.3,1.0,-0.9879571428571425
0.25,566,7.58,1.0,-0.9872885714285712
0.25,570,7.4,1.0,-0.9871657142857139
0.25,579,6.04,1.0,-0.9901314285714282
0.25,585,7.7,1.0,-0.9873114285714282
0.25,611,7.16,1.0,-0.9879085714285714
0.25,617,6.94,1.0,-0.9887285714285713
0.25,619,7.66,1.0,-0.986968571428571
0.25,634,7.1,1.0,-0.987945714285714
0.25,635,7.34,1.0,-0.9878142857142855
0.25,661,6.82,1.0,-0.9890371428571431
0.25,663,7.52,1.0,-0.9869942857142854
0.25,670,6.26,1.0,-0.9896142857142857
