resistance,metric,max_level,avg_level
0.25,21.00768,1.0,-0.6305200000000027
0.5,21.00768,1.0,-0.6305200000000027
0.75,21.00768,1.0,-0.6305200000000027
1.0,21.00768,1.0,-0.6305200000000027
