resistance,node,metric,max_level,avg_level
0.25,4,1.14,0.04,-0.9997966666666676
0.25,8,1.08,0.0,-0.999820000000001
0.25,22,1.1,0.0,-0.9998166666666676
0.25,26,1.14,0.02,-0.9998033333333344
0.25,28,1.16,0.02,-0.9998000000000008
0.25,29,1.1,0.0,-0.9998166666666676
0.25,32,1.18,0.02,-0.9997966666666676
0.25,51,1.06,0.0,-0.9998233333333343
0.25,52,1.12,0.0,-0.9998133333333342
0.25,53,1.06,0.0,-0.9998233333333344
0.25,57,1.1,0.0,-0.9998166666666676
0.25,62,1.1,0.0,-0.9998166666666676
0.25,67,1.1,0.02,-0.999810000000001
0.25,68,1.04,0.0,-0.9998266666666676
0.25,76,1.06,0.0,-0.9998233333333343
0.25,87,1.18,0.0,-0.9998033333333344
0.25,91,1.14,0.0,-0.999810000000001
0.25,94,1.08,0.0,-0.999820000000001
0.25,107,1.16,0.02,-0.9998000000000009
0.25,112,1.12,0.02,-0.9998066666666676
0.25,114,1.1,0.02,-0.9998099999999991
0.25,120,1.04,0.0,-0.9998266666666678
0.25,129,1.14,0.0,-0.9998100000000011
0.25,139,1.1,0.0,-0.9998166666666676
0.25,140,1.12,0.02,-0.9998066666666658
0.25,142,1.1,0.02,-0.999810000000001
0.25,147,1.14,0.0,-0.999809999999999
0.25,153,1.16,0.02,-0.9998000000000009
0.25,162,1.12,0.04,-0.9997933333333343
0.25,167,1.08,0.0,-0.999820000000001
0.25,170,1.1,0.02,-0.999810000000001
0.25,176,1.12,0.0,-0.9998133333333342
0.25,183,1.12,0.0,-0.9998133333333342
0.25,191,1.06,0.0,-0.9998233333333343
0.25,203,1.1,0.02,-0.999810000000001
0.25,206,1.1,0.0,-0.9998166666666652
0.25,211,1.14,0.02,-0.9998033333333342
0.25,213,1.14,0.0,-0.999810000000001
0.25,215,1.1,0.0,-0.9998166666666677
0.25,226,1.1,0.0,-0.9998166666666677
0.25,228,1.02,0.0,-0.999830000000001
0.25,232,1.02,0.0,-0.999830000000001
0.25,242,1.1,0.02,-0.999810000000001
0.25,252,1.1,0.02,-0.9998100000000011
0.25,253,1.12,0.02,-0.9998066666666677
0.25,261,1.08,0.0,-0.999820000000001
0.25,265,1.1,0.0,-0.9998166666666657
0.25,266,1.18,0.02,-0.9997966666666678
0.25,268,1.08,0.02,-0.9998133333333342
0.25,269,1.06,0.0,-0.9998233333333343
0.25,279,1.14,0.02,-0.9998033333333344
0.25,289,1.28,0.06,-0.9997666666666675
0.25,298,1.12,0.0,-0.9998133333333342
0.25,299,1.1,0.02,-0.999810000000001
0.25,302,1.08,0.04,-0.9998066666666676
0.25,307,1.06,0.0,-0.9998233333333343
0.25,312,1.04,0.0,-0.9998266666666678
0.25,314,1.16,0.02,-0.999800000000001
0.25,322,1.02,0.0,-0.999830000000001
0.25,324,1.08,0.0,-0.9998200000000012
0.25,326,1.1,0.0,-0.9998166666666677
0.25,327,1.22,0.02,-0.999790000000001
0.25,331,1.16,0.0,-0.9998066666666676
0.25,337,1.1,0.0,-0.9998166666666656
0.25,339,1.12,0.0,-0.9998133333333326
0.25,352,1.12,0.02,-0.9998066666666677
0.25,358,1.16,0.02,-0.999800000000001
0.25,372,1.12,0.04,-0.9997999999999989
0.25,373,1.1,0.0,-0.9998166666666657
0.25,377,1.16,0.04,-0.9997933333333343
0.25,380,1.14,0.02,-0.9998033333333344
0.25,382,1.14,0.02,-0.9998033333333342
0.25,392,1.08,0.0,-0.999820000000001
0.25,401,1.16,0.0,-0.9998066666666675
0.25,412,1.12,0.04,-0.9998000000000009
0.25,414,1.1,0.02,-0.999810000000001
0.25,416,1.08,0.02,-0.9998133333333342
0.25,419,1.02,0.0,-0.9998299999999974
0.25,423,1.08,0.0,-0.999820000000001
0.25,431,1.02,0.0,-0.9998299999999989
0.25,443,1.08,0.0,-0.999820000000001
0.25,465,1.08,0.04,-0.9998066666666675
0.25,468,1.04,0.0,-0.9998266666666678
0.25,476,1.18,0.0,-0.9998033333333345
0.25,479,1.0,0.0,-0.9998333333333344
0.25,481,1.14,0.0,-0.9998100000000011
0.25,483,1.1,0.0,-0.9998166666666676
0.25,492,1.14,0.0,-0.999810000000001
0.25,510,1.08,0.0,-0.999820000000001
0.25,515,1.06,0.0,-0.9998233333333342
0.25,521,1.08,0.0,-0.999820000000001
0.25,523,1.16,0.0,-0.9998066666666676
0.25,532,1.04,0.0,-0.9998266666666676
0.25,536,1.12,0.0,-0.9998133333333342
0.25,538,1.08,0.0,-0.999820000000001
0.25,543,1.1,0.0,-0.9998166666666677
0.25,547,1.06,0.02,-0.9998166666666677
0.25,564,1.1,0.02,-0.999803333333332
0.25,566,1.08,0.0,-0.999820000000001
0.25,582,1.0,0.0,-0.9998333333333344
0.25,590,1.08,0.0,-0.9998200000000008
0.25,596,1.12,0.02,-0.9998066666666676
0.25,605,1.08,0.02,-0.9998133333333342
0.25,613,1.02,0.0,-0.999830000000001
0.25,637,1.1,0.0,-0.9998166666666676
0.25,664,1.06,0.0,-0.9998233333333343
0.25,669,1.08,0.0,-0.9998200000000008
0.25,675,1.06,0.02,-0.9998166666666677
0.25,682,1.12,0.0,-0.9998133333333342
0.25,688,1.02,0.02,-0.9998233333333343
0.25,698,1.14,0.02,-0.9998033333333344
0.25,705,1.08,0.0,-0.9998200000000012
0.25,720,1.14,0.06,-0.9997900000000008
0.25,726,1.02,0.0,-0.9998300000000009
0.25,729,1.04,0.0,-0.9998266666666676
0.25,743,1.04,0.02,-0.999820000000001
0.25,749,1.1,0.02,-0.999810000000001
0.25,755,1.12,0.0,-0.9998133333333343
0.25,756,1.04,0.02,-0.999820000000001
0.25,759,1.16,0.02,-0.9997933333333343
0.25,760,1.16,0.02,-0.9997933333333344
0.25,761,1.08,0.0,-0.999820000000001
0.25,762,1.02,0.0,-0.999830000000001
0.25,769,1.12,0.04,-0.9998000000000009
0.25,781,1.1,0.02,-0.9998033333333344
0.25,783,1.1,0.02,-0.9998033333333344
0.25,786,1.12,0.0,-0.9998133333333342
0.25,789,1.14,0.0,-0.9998100000000008
0.25,791,1.1,0.02,-0.999810000000001
0.25,796,1.12,0.0,-0.9998133333333342
0.25,798,1.1,0.0,-0.9998166666666677
0.25,802,1.1,0.02,-0.999810000000001
0.25,838,1.16,0.02,-0.999800000000001
0.25,847,1.12,0.0,-0.9998133333333343
0.25,849,1.12,0.0,-0.9998133333333343
0.25,853,1.06,0.02,-0.9998166666666655
0.25,867,1.22,0.0,-0.9997966666666676
0.25,874,1.1,0.0,-0.9998166666666676
0.25,879,1.16,0.0,-0.9998066666666676
0.25,880,1.16,0.02,-0.9998000000000009
0.25,885,1.0,0.0,-0.9998333333333344
0.25,896,1.14,0.02,-0.9998033333333344
0.25,899,1.06,0.0,-0.9998233333333343
0.25,913,1.06,0.02,-0.9998166666666677
0.25,914,1.12,0.0,-0.9998133333333342
0.25,919,1.14,0.02,-0.9998033333333344
0.25,921,1.12,0.0,-0.9998133333333311
0.25,926,1.12,0.02,-0.9998066666666675
0.25,938,1.1,0.02,-0.9998100000000011
0.25,940,1.06,0.0,-0.9998233333333344
0.25,941,1.08,0.0,-0.9998200000000008
0.25,943,1.08,0.0,-0.999820000000001
0.25,944,1.1,0.02,-0.999810000000001
0.25,946,1.08,0.0,-0.9998200000000008
