resistance,node,metric,max_level,avg_level
0.25,0,4.72,0.98,-0.9960600000000003
0.25,7,4.86,0.96,-0.9958374999999997
0.25,11,4.68,0.96,-0.9958799999999993
0.25,17,4.82,0.98,-0.9957425000000003
0.25,25,4.74,1.0,-0.9961175
0.25,44,4.58,0.98,-0.9960425000000002
0.25,45,4.82,0.94,-0.9961225
0.25,73,4.62,0.98,-0.9961975000000003
0.25,79,4.56,0.96,-0.996055
0.25,83,4.46,0.98,-0.9961724999999998
0.25,101,4.72,0.96,-0.9959900000000002
0.25,117,4.86,0.94,-0.9959775
0.25,121,4.38,0.94,-0.9963275000000001
0.25,122,4.5,0.96,-0.9962075000000002
0.25,126,4.52,0.96,-0.9962150000000003
0.25,128,4.46,0.94,-0.9962774999999998
0.25,133,4.62,1.0,-0.9961324999999998
0.25,140,4.78,0.96,-0.9960825000000005
0.25,153,5.02,1.0,-0.9957375000000002
0.25,155,4.88,0.96,-0.9959250000000001
0.25,157,4.4,0.94,-0.9965
0.25,169,4.32,0.92,-0.9964849999999998
0.25,170,4.96,0.94,-0.9957149999999999
0.25,172,4.54,0.92,-0.9962674999999998
0.25,176,4.4,0.96,-0.9963200000000001
0.25,179,4.54,0.96,-0.9963275000000003
0.25,193,5.0,1.0,-0.9958050000000004
0.25,199,4.58,0.98,-0.9958825000000003
0.25,211,4.82,0.98,-0.9957825000000003
0.25,215,4.1,0.9,-0.9966325
0.25,221,4.22,0.96,-0.9966025000000002
0.25,229,4.78,0.98,-0.9958824999999998
0.25,247,4.6,1.0,-0.996165
0.25,256,4.38,0.98,-0.9965875
0.25,272,4.54,0.98,-0.9960125000000002
0.25,282,4.7,0.94,-0.9960275
0.25,284,4.54,0.94,-0.9962224999999999
0.25,289,5.0,1.0,-0.995895
0.25,291,4.58,0.96,-0.9961724999999998
0.25,294,4.72,0.98,-0.9959500000000004
0.25,309,4.76,0.94,-0.9958950000000004
0.25,311,4.52,0.94,-0.996275
0.25,319,5.06,0.96,-0.9955624999999999
0.25,347,4.22,0.96,-0.9961625
0.25,360,4.2,0.94,-0.9964799999999999
0.25,362,4.8,0.96,-0.9958999999999999
0.25,363,4.58,0.98,-0.9961325000000002
0.25,385,5.18,1.0,-0.9956025000000001
0.25,387,4.88,0.96,-0.9958900000000002
0.25,427,4.68,1.0,-0.9961600000000002
0.25,429,5.26,1.0,-0.9955475000000003
0.25,430,4.72,0.94,-0.9960050000000004
0.25,431,4.26,0.98,-0.9965875000000003
0.25,441,4.32,0.94,-0.99623
0.25,451,4.64,0.96,-0.9961450000000002
0.25,464,4.56,0.96,-0.99633
0.25,471,4.9,1.0,-0.9957574999999993
0.25,483,4.64,0.98,-0.9962099999999998
0.25,484,4.74,0.98,-0.9961325000000005
0.25,494,4.44,0.94,-0.996465
0.25,509,4.82,0.98,-0.9957325000000001
0.25,528,4.82,0.96,-0.9959375
0.25,555,4.42,0.96,-0.9963425000000001
0.25,569,4.68,0.96,-0.9961850000000001
0.25,573,4.56,0.92,-0.9960050000000007
0.25,576,4.52,0.96,-0.9962300000000007
0.25,585,4.48,0.96,-0.9960000000000001
0.25,589,4.98,0.96,-0.9956525
0.25,594,4.72,0.94,-0.9960399999999998
0.25,602,5.18,0.94,-0.9956875000000003
0.25,607,4.7,0.98,-0.9958425000000003
0.25,613,4.86,1.0,-0.9960174999999998
0.25,616,4.54,0.98,-0.9960825000000003
0.25,630,4.92,1.0,-0.9959599999999997
0.25,634,4.64,0.96,-0.9959950000000001
0.25,636,4.86,1.0,-0.9957425000000005
0.25,639,4.7,0.98,-0.9961224999999999
0.25,642,4.54,1.0,-0.9960475000000001
0.25,666,4.38,0.98,-0.9964424999999999
0.25,674,4.5,0.98,-0.9962324999999999
0.25,680,4.92,0.98,-0.9956650000000002
0.25,687,4.64,1.0,-0.9960999999999995
0.25,689,4.54,1.0,-0.9961175
0.25,692,4.32,0.92,-0.9963599999999998
0.25,698,4.66,0.98,-0.9960474999999999
0.25,699,4.04,0.92,-0.9964850000000003
0.25,711,4.74,0.98,-0.9958575000000003
0.25,714,4.38,0.98,-0.9963974999999999
0.25,740,4.68,0.96,-0.9960300000000001
0.25,747,4.7,1.0,-0.9961225
0.25,756,4.28,0.98,-0.9965300000000004
0.25,762,4.56,0.96,-0.9960399999999998
0.25,768,5.44,1.0,-0.9952500000000002
0.25,775,4.66,1.0,-0.9959324999999999
0.25,778,4.68,1.0,-0.9961400000000001
0.25,783,4.58,0.98,-0.9962325000000003
0.25,785,4.42,1.0,-0.9962574999999998
0.25,793,4.64,0.96,-0.9960900000000003
0.25,796,5.14,0.98,-0.9955025000000002
0.25,799,4.7,0.98,-0.9960524999999997
0.25,807,4.8,1.0,-0.9961349999999999
0.25,808,4.78,0.96,-0.9960175000000002
0.25,810,5.18,1.0,-0.9954724999999999
0.25,812,4.92,0.96,-0.9956800000000001
0.25,815,4.08,0.96,-0.9965750000000001
0.25,816,5.06,1.0,-0.9956725
0.25,819,4.58,0.98,-0.9962325000000001
0.25,827,4.6,1.0,-0.9958800000000001
0.25,838,4.42,0.96,-0.9962925000000002
0.25,844,4.68,0.98,-0.9959349999999999
0.25,862,4.58,0.96,-0.9961125000000002
0.25,863,4.18,0.94,-0.9967125
0.25,869,4.38,0.96,-0.9963725
0.25,879,4.52,0.92,-0.9963250000000001
0.25,906,5.26,0.98,-0.9954175000000001
0.25,909,4.52,1.0,-0.9959000000000002
0.25,916,4.62,0.98,-0.9960375
0.25,924,4.94,0.94,-0.9957325000000004
0.25,926,4.38,0.9,-0.9963375000000001
0.25,945,4.94,0.98,-0.9956075
