resistance,metric,max_level,avg_level
0.25,28.9927,1.0,-0.3466218499999908
0.5,28.9927,1.0,-0.3466218499999908
0.75,28.9927,1.0,-0.3466218499999908
1.0,28.9927,1.0,-0.3466218499999908
