,realization,node,resistance,metric,max_level,avg_level
0,0,6061,0.25,10000,1,0.1974
1,0,6061,0.35,10000,1,0.1974
2,0,6061,0.45,10000,1,0.1974
3,0,6061,0.55,10000,1,0.1974
4,0,6061,0.65,10000,4,0.7396
5,0,6061,0.75,8026,1,0.1974
6,0,2675,0.25,10000,1,0.1986
7,0,2675,0.35,10000,1,0.1986
8,0,2675,0.45,10000,1,0.1986
9,0,2675,0.55,10000,1,0.1986
10,0,2675,0.65,10000,5,0.9045
11,0,2675,0.75,8014,1,0.1986
12,0,9338,0.25,10000,1,0.1936
13,0,9338,0.35,10000,1,0.1936
14,0,9338,0.45,10000,1,0.1936
15,0,9338,0.55,10000,1,0.1936
16,0,9338,0.65,10000,3,0.369
17,0,9338,0.75,8064,1,0.1936
18,0,5865,0.25,10000,1,0.1997
19,0,5865,0.35,10000,1,0.1997
20,0,5865,0.45,10000,1,0.1997
21,0,5865,0.55,10000,1,0.1997
22,0,5865,0.65,10000,8,1.4761
23,0,5865,0.75,8003,1,0.1997
24,0,8027,0.25,10000,1,0.1999
25,0,8027,0.35,10000,1,0.1999
26,0,8027,0.45,10000,1,0.1999
27,0,8027,0.55,10000,1,0.1999
28,0,8027,0.65,8011,5,0.9474
29,0,8027,0.75,8001,1,0.1999
30,0,2991,0.25,10000,1,0.1954
31,0,2991,0.35,10000,1,0.1954
32,0,2991,0.45,10000,1,0.1954
33,0,2991,0.55,10000,1,0.1954
34,0,2991,0.65,10000,3,0.4969
35,0,2991,0.75,8046,1,0.1954
36,0,5388,0.25,10000,1,0.1988
37,0,5388,0.35,10000,1,0.1988
38,0,5388,0.45,10000,1,0.1988
39,0,5388,0.55,10000,1,0.1988
40,0,5388,0.65,10000,7,1.2639
41,0,5388,0.75,8012,1,0.1988
42,0,4111,0.25,10000,1,0.2017
43,0,4111,0.35,10000,1,0.2017
44,0,4111,0.45,10000,1,0.2017
45,0,4111,0.55,10000,1,0.2017
46,0,4111,0.65,7985,2,0.3943
47,0,4111,0.75,7983,1,0.2017
48,0,9925,0.25,10000,1,0.1958
49,0,9925,0.35,10000,1,0.1958
50,0,9925,0.45,10000,1,0.1958
51,0,9925,0.55,10000,1,0.1958
52,0,9925,0.65,10000,3,0.5336
53,0,9925,0.75,8042,1,0.1958
54,0,6374,0.25,10000,1,0.1937
55,0,6374,0.35,10000,1,0.1937
56,0,6374,0.45,10000,1,0.1937
57,0,6374,0.55,10000,1,0.1937
58,0,6374,0.65,10000,3,0.3754
59,0,6374,0.75,8063,1,0.1937
60,0,7321,0.25,10000,1,0.1986
61,0,7321,0.35,10000,1,0.1986
62,0,7321,0.45,10000,1,0.1986
63,0,7321,0.55,10000,1,0.1986
64,0,7321,0.65,10000,5,0.947
65,0,7321,0.75,8014,1,0.1986
66,0,4571,0.25,10000,1,0.1979
67,0,4571,0.35,10000,1,0.1979
68,0,4571,0.45,10000,1,0.1979
69,0,4571,0.55,10000,1,0.1979
70,0,4571,0.65,10000,5,0.7722
71,0,4571,0.75,8021,1,0.1979
72,0,5191,0.25,10000,1,0.2018
73,0,5191,0.35,10000,1,0.2018
74,0,5191,0.45,10000,1,0.2018
75,0,5191,0.55,10000,1,0.2018
76,0,5191,0.65,7982,1,0.2018
77,0,5191,0.75,7982,1,0.2018
78,0,7273,0.25,10000,1,0.2115
79,0,7273,0.35,10000,1,0.2115
80,0,7273,0.45,10000,1,0.2115
81,0,7273,0.55,10000,1,0.2115
82,0,7273,0.65,7885,1,0.2115
83,0,7273,0.75,7885,1,0.2115
84,0,5176,0.25,10000,1,0.2017
85,0,5176,0.35,10000,1,0.2017
86,0,5176,0.45,10000,1,0.2017
87,0,5176,0.55,10000,1,0.2017
88,0,5176,0.65,7987,2,0.4029
89,0,5176,0.75,7983,1,0.2017
90,0,6796,0.25,10000,1,0.1978
91,0,6796,0.35,10000,1,0.1978
92,0,6796,0.45,10000,1,0.1978
93,0,6796,0.55,10000,1,0.1978
94,0,6796,0.65,10000,5,0.7747
95,0,6796,0.75,8022,1,0.1978
96,0,7526,0.25,10000,1,0.1991
97,0,7526,0.35,10000,1,0.1991
98,0,7526,0.45,10000,1,0.1991
99,0,7526,0.55,10000,1,0.1991
100,0,7526,0.65,10000,6,1.072
101,0,7526,0.75,8009,1,0.1991
102,0,2206,0.25,10000,1,0.199
103,0,2206,0.35,10000,1,0.199
104,0,2206,0.45,10000,1,0.199
105,0,2206,0.55,10000,1,0.199
106,0,2206,0.65,10000,7,1.198
107,0,2206,0.75,8010,1,0.199
108,0,104,0.25,10000,1,0.1936
109,0,104,0.35,10000,1,0.1936
110,0,104,0.45,10000,1,0.1936
111,0,104,0.55,10000,1,0.1936
112,0,104,0.65,10000,3,0.3723
113,0,104,0.75,8064,1,0.1936
114,0,3913,0.25,10000,1,0.1972
115,0,3913,0.35,10000,1,0.1972
116,0,3913,0.45,10000,1,0.1972
117,0,3913,0.55,10000,1,0.1972
118,0,3913,0.65,10000,4,0.7334
119,0,3913,0.75,8028,1,0.1972
120,0,854,0.25,10000,1,0.1962
121,0,854,0.35,10000,1,0.1962
122,0,854,0.45,10000,1,0.1962
123,0,854,0.55,10000,1,0.1962
124,0,854,0.65,10000,3,0.5461
125,0,854,0.75,8038,1,0.1962
126,0,6488,0.25,10000,1,0.2076
127,0,6488,0.35,10000,1,0.2076
128,0,6488,0.45,10000,1,0.2076
129,0,6488,0.55,10000,1,0.2076
130,0,6488,0.65,7924,1,0.2076
131,0,6488,0.75,7924,1,0.2076
132,0,5436,0.25,10000,1,0.2041
133,0,5436,0.35,10000,1,0.2041
134,0,5436,0.45,10000,1,0.2041
135,0,5436,0.55,10000,1,0.2041
136,0,5436,0.65,7959,1,0.2041
137,0,5436,0.75,7959,1,0.2041
138,0,4388,0.25,10000,1,0.1963
139,0,4388,0.35,10000,1,0.1963
140,0,4388,0.45,10000,1,0.1963
141,0,4388,0.55,10000,1,0.1963
142,0,4388,0.65,10000,3,0.5522
143,0,4388,0.75,8037,1,0.1963
